id,px,py,pz,vx,vy,vz
0,0.269515697,-0.148414976,0,-8.25121639,-17.8542674,0
1,0.640895926,-0.0459209149,0,-1.43881566,-10.5232705,0
2,0.825597443,0.814818783,0,-2.58387584,1.04514853,0
3,0.541493586,0.62317679,0,2.82410099,-10.3803235,0
4,0.870715816,0.458522697,0,1.90127528,2.73742765,0
5,1.00222394,0.279936766,0,9.77278308,-11.8784171,0
6,0.168569396,0.423834617,0,3.77158028,13.3946993,0
7,0.401965199,0.164974647,0,-7.85190364,4.0570215,0
8,0.867569491,0.336621712,0,-6.83213021,-23.7965817,0
9,0.223608831,0.252841479,0,-11.6523965,-4.79923083,0
10,1.0226935,0.563406987,0,1.42129865,1.17301716,0
11,0.703846254,0.353385859,0,-7.35626224,1.81819296,0
12,0.269125124,0.13195925,0,-6.689002,18.8697023,0
13,1.17041601,0.777023415,0,16.8505314,6.8896825,0
14,0.840605516,0.485702776,0,6.01309521,-2.37064347,0
15,0.217111009,0.127830493,0,-10.377779,2.13453166,0
16,-0.269301867,0.248050358,0,-6.27858888,-28.653319,0
17,0.679384489,0.0491243911,0,8.29543922,-9.86459767,0
18,0.119343652,0.573730183,0,-5.25336636,5.91029245,0
19,0.140567769,0.945541908,0,1.96730306,-1.15182577,0
20,0.898071311,0.410072567,0,34.229443,-12.0863987,0
21,0.899540901,0.0893913438,0,-2.69133169,13.6667804,0
22,0.754503134,0.435407731,0,12.4095247,0.360999871,0
23,0.0562939372,0.233318251,0,-16.7020598,-8.74789699,0
24,1.0345931,0.893364822,0,5.62386898,5.5200704,0
25,0.760896898,0.311588858,0,-5.19685185,-5.5355795,0
26,0.995350794,0.0666056902,0,-0.732921021,-10.4637001,0
27,0.528048939,-0.0944657358,0,11.8648467,-7.72164754,0
28,0.830545047,0.435909289,0,8.23333601,0.92202604,0
29,0.732508217,0.0756546693,0,2.15093641,-6.75499279,0
30,0.820194612,0.815733291,0,3.8650992,-4.90153153,0
31,0.958746418,0.151010926,0,2.81980059,-2.77959649,0
32,0.734185734,0.267915103,0,0.41068338,1.46159452,0
33,0.062943093,0.0915572293,0,1.39141089,7.93480415,0
34,0.0373049777,0.413086905,0,5.99606665,13.0268131,0
