id,px,py,pz,vx,vy,vz
0,-0.0623504484,0.117564714,0,-4.12346595,-9.56103738,0
1,0.703471758,0.60702771,0,5.26379367,-3.34614172,0
2,0.84923275,0.0720796753,0,5.06701324,14.3040517,0
3,0.446243148,0.922356549,0,-4.4892886,-7.53340362,0
4,0.0888909159,1.25524958,0,2.49497875,23.3445621,0
5,0.853911681,0.591340454,0,12.6712311,-0.310065443,0
6,0.501657943,0.134156537,0,14.2054814,14.3677348,0
7,-0.0498573046,0.701503467,0,-0.677520211,-4.04566949,0
8,0.187702992,0.0446190647,0,-12.3861872,-12.5241438,0
9,-0.0524440513,0.682124339,0,-5.23630854,11.7290395,0
10,0.805982255,-0.0446090912,0,7.49888987,6.80575528,0
11,-0.240442826,0.165911831,0,-12.5075469,-1.78634365,0
12,0.0418105256,0.156261691,0,-1.27600272,-6.65602768,0
13,1.02274153,0.0582484281,0,14.9172634,1.84393035,0
14,0.4223094,0.444139481,0,25.3390758,-2.63941637,0
15,0.86542608,0.597379639,0,-17.9441937,11.7899228,0
16,0.405563604,0.531690185,0,9.86554763,3.62415909,0
17,0.652199877,0.625157052,0,-10.0090938,-8.16760403,0
18,0.25173239,0.261781642,0,-4.66654764,-8.06603738,0
19,0.808936491,0.283113442,0,10.3855094,-12.4691583,0
20,0.76929077,0.268324482,0,0.863776009,8.91726528,0
21,0.670307356,1.10086701,0,-11.8919694,8.82499436,0
22,0.782435889,-0.0858650352,0,27.2642629,-5.75417708,0
23,0.975778258,0.480671907,0,4.6263134,0.846049776,0
24,0.132324621,0.876098147,0,18.3217754,-16.0734803,0
25,0.550478221,0.174673076,0,5.17487772,8.4222886,0
26,0.407532215,0.648806158,0,-3.76810971,5.79957248,0
27,0.424428318,0.809579696,0,-7.30254688,9.68621877,0
28,0.42233743,0.157880775,0,-1.58590265,-9.83893971,0
29,-0.101227309,0.913179984,0,-17.5128866,1.16983067,0
30,0.16820452,0.492870951,0,0.0433751366,12.9797603,0
31,3.97161067e-05,0.0438553773,0,-2.20076225,-0.186909881,0
32,0.270084911,0.66287024,0,-0.267370742,-10.7506838,0
33,0.665504927,0.886808132,0,2.03460549,-17.8151368,0
34,0.0662934271,0.021266675,0,-3.94181108,-0.8376955,0
35,0.566826143,0.59753667,0,4.86395745,-4.93100554,0
36,0.378257751,0.886919115,0,-2.65790256,7.87314881,0
37,0.365880934,1.20277848,0,4.45296238,14.4647274,0
38,0.196028013,0.7980046,0,5.21687901,-7.03494203,0
39,0.681112681,0.315487129,0,-0.0238512563,-3.80381696,0
40,0.385709436,-0.0403392267,0,-2.38685473,0.235559055,0
41,1.20916388,-0.0358119276,0,16.161842,-6.48424064,0
42,0.517529565,0.886657638,0,3.756378,-7.60486408,0
43,0.03105058,0.273436717,0,2.34422586,-4.26340872,0
44,-0.0279702198,0.881335489,0,-6.68186485,18.9184491,0
45,0.339282298,0.194820356,0,-0.89783643,-16.3818477,0
46,0.447738607,-0.0149617172,0,4.75785564,2.57062586,0
47,-0.0283696479,0.690244636,0,4.9313598,8.85129901,0
48,0.807728796,0.903737649,0,-0.0267370969,-13.5855351,0
49,0.0561398093,0.246044023,0,-4.75197023,-10.1996467,0
50,0.348681791,0.203352224,0,-8.92453522,-3.96502122,0
51,1.02581796,0.382044745,0,3.94610181,-10.9212224,0
52,0.598522105,1.01296604,0,5.2030561,-0.534212276,0
53,0.854004281,0.185669243,0,-11.7835715,6.62070127,0
54,0.878016616,0.860510382,0,-14.4342178,2.80509308,0
55,-0.0676302129,0.882064623,0,-12.8814404,-15.7035309,0
56,0.873141266,0.326980082,0,-14.3165527,-2.27780769,0
57,0.382545218,0.345843394,0,-10.175372,1.69914786,0
58,0.483486193,0.830434844,0,-5.02048587,-8.69147337,0
59,-0.00732405301,0.836154889,0,-3.01507061,-17.3598212,0
60,0.148942779,0.894175593,0,8.59422832,-0.720127077,0
61,0.495581,1.0291292,0,-4.08199547,11.4567689,0
62,0.192423149,0.651519814,0,3.88244687,14.4989338,0
63,0.561282101,1.00633418,0,-5.88519505,-4.91890094,0
64,0.963362895,-0.152915016,0,7.9117695,-11.0243872,0
65,0.161416947,0.386737239,0,-10.5481252,8.58083144,0
66,0.637385916,0.838286745,0,-9.21001749,1.26636225,0
67,0.839050654,0.153691037,0,6.53657249,3.56362126,0
68,0.843797409,1.21357575,0,0.29452294,25.5692162,0
69,0.105804042,-0.026515954,0,-0.0744876703,-11.2925458,0
70,-0.028732252,0.42990939,0,-10.4946333,7.72894707,0
71,0.17880081,0.164837964,0,0.564479833,22.9471929,0
72,0.0575527681,0.0937691435,0,-1.69213705,-5.64118904,0
73,0.248579989,0.250721889,0,-4.19044256,14.3199467,0
74,0.543482572,0.409205204,0,-5.88104993,2.54498799,0
75,0.585716227,0.314965993,0,-6.57125364,-6.06186135,0
76,0.358302707,0.829970042,0,-2.86191373,-5.38098285,0
77,0.105686867,0.100336265,0,9.63119686,2.41091542,0
78,0.544148966,0.284509544,0,-5.02826136,15.4517271,0
79,0.864146151,0.711355416,0,-3.0938599,-8.26231664,0
80,0.908827264,0.892206872,0,11.8042618,14.5281794,0
81,0.356479714,0.762905471,0,9.22612588,14.4625361,0
82,0.811713535,0.434011047,0,1.83839009,13.2481209,0
83,-0.119962911,0.0632102407,0,-10.0070879,-3.04496318,0
84,0.625307887,0.625445792,0,3.30680643,7.39913474,0
85,0.963066273,-0.149118327,0,7.50707085,-6.69384464,0
86,0.446941638,0.229180687,0,2.06781722,2.80252763,0
