id,px,py,pz,vx,vy,vz
0,0.13241245,0.70587193,0,5.7914511,11.0163609,0
1,-0.0168121596,0.44982531,0,-9.52009442,6.87890474,0
2,0.74645839,0.813647158,0,-3.47104622,-7.19271531,0
3,0.327622866,0.133765205,0,-9.36571094,-6.75194648,0
4,0.34569745,0.374619705,0,-20.4041969,-0.111249243,0
5,0.0776183158,0.253589575,0,-17.6439988,17.454912,0
6,0.578636736,0.93541773,0,7.23770109,-6.75557903,0
7,0.303455744,0.153412381,0,-0.262865701,-3.4958295,0
8,0.818682841,0.202891749,0,9.05443181,2.41667,0
9,0.133511882,0.292219988,0,2.40921673,11.4371604,0
10,0.873108605,0.733883171,0,0.868531616,8.38766617,0
11,-0.415777637,0.184905149,0,-22.0528338,-3.93662904,0
12,0.107213461,1.0777518,0,0.327899468,-0.614157732,0
13,0.0689637653,0.99885974,0,-17.1186745,4.00390241,0
14,0.877615777,0.743896407,0,-0.649131224,1.34223555,0
15,0.996146495,0.229160757,0,30.7554199,0.301433085,0
16,0.881725494,0.861142914,0,-25.8526631,21.0714313,0
17,0.807542732,0.485997032,0,-0.413087183,7.77011208,0
18,0.0764709289,0.980293054,0,3.06778376,-0.548318,0
19,0.141051735,0.924904726,0,-2.27185389,-5.89387189,0
20,0.108492844,0.247347732,0,-17.2463668,8.79563607,0
21,0.586122436,0.986060604,0,-1.71016873,12.5252523,0
22,0.862795859,0.599746734,0,-10.4955898,4.3943784,0
23,0.710563027,0.345604265,0,16.6460181,10.8054772,0
24,0.57945961,0.924193408,0,-9.98428633,-2.68501491,0
25,0.660739795,-0.0568504402,0,-2.30689511,-0.420586265,0
26,0.650798541,0.35079345,0,-2.41547865,6.47255382,0
27,0.488909938,0.343331724,0,-19.4999088,4.37216744,0
28,0.390049619,0.0944085307,0,-22.1642986,5.45435791,0
29,0.173051529,0.404141004,0,-15.1854716,10.9515368,0
30,0.464650949,0.892683049,0,-4.93223496,-6.11768625,0
31,0.852866976,0.156050829,0,-1.59808518,8.35306424,0
32,0.795758202,0.0389125258,0,2.92551425,0.776277765,0
33,0.0535391251,0.680216979,0,-5.42779788,4.26747614,0
34,0.669984138,0.943781134,0,9.62001061,2.69406074,0
35,0.738333971,0.63653253,0,-4.09083317,9.94055052,0
36,1.09934026,0.448789326,0,0.696400239,-8.87179006,0
37,-0.0332871814,0.377171117,0,-6.42434372,0.673575572,0
38,-0.0201357302,0.613645089,0,-7.05973022,-10.8569053,0
39,-0.348647548,-0.138042908,0,-21.1663808,-17.818482,0
40,0.32058483,0.146830757,0,0.379999827,1.52251987,0
41,0.50391358,0.646534269,0,-2.01397177,-1.45603623,0
42,0.82934506,0.409608224,0,-0.667044473,-12.9289152,0
43,0.642018903,1.1053657,0,-6.45343383,3.0130709,0
44,0.487967353,0.862628633,0,1.92843968,-15.503467,0
45,0.424018343,0.509508196,0,-7.22847499,10.6898926,0
46,0.958531431,0.313179757,0,17.1529326,7.00448016,0
47,0.259319253,0.515761461,0,9.27488118,9.59840461,0
48,0.864754652,0.916384689,0,-8.4551337,1.43350495,0
49,0.217571901,0.802373378,0,2.11056618,-2.85446325,0
50,0.0792108843,0.422835987,0,0.231571618,7.27974837,0
51,0.909916777,0.987065312,0,-14.0877792,4.45657574,0
52,0.119495554,0.367155218,0,-10.9514696,-11.5279023,0
53,0.441918387,0.632158192,0,-4.81061547,12.0975504,0
54,0.45875882,0.390705024,0,0.803628619,-13.7608869,0
55,1.22022392,0.688960778,0,12.2684781,9.02141337,0
56,0.153868596,0.872046789,0,-1.76474791,-3.39233843,0
57,0.767431815,0.25897577,0,5.65010084,-6.19208108,0
58,0.82396908,-0.243960615,0,-2.49470727,-8.28489836,0
59,0.170055881,0.803442206,0,5.0350246,-11.8172544,0
60,0.326640954,0.492388935,0,10.9880522,12.0109339,0
61,0.51805984,0.711950245,0,-19.1287631,-2.97662241,0
62,0.91624328,0.240266089,0,-0.339382404,-12.557859,0
63,0.961760765,-0.00866245679,0,1.2419292,-2.74847386,0
64,0.380816411,0.40254979,0,-10.1565618,3.72837364,0
65,0.0954573684,0.291254562,0,-4.03278145,-23.0718602,0
66,1.0760772,0.790142667,0,6.50330352,6.49746603,0
67,0.66007767,0.525247659,0,3.37568778,-5.6006896,0
68,0.136259353,0.391821704,0,21.3723546,-7.34665652,0
69,0.445719136,0.62721515,0,0.481057924,5.29267612,0
70,0.354235216,0.54381778,0,4.80477384,-1.31339801,0
71,0.198956522,-0.149017476,0,3.59607854,-17.3511653,0
72,0.048846185,0.946546228,0,5.36775686,18.2415487,0
73,0.619872414,0.368105638,0,5.74095322,-9.10058897,0
74,1.15593424,0.907293307,0,6.02334741,-9.16968984,0
75,0.963453314,0.630018433,0,-8.33762522,-7.2243449,0
76,0.999397148,0.283637973,0,1.01826536,-1.46528554,0
77,0.0526712184,0.795272303,0,-0.976327593,3.95652579,0
78,0.586295669,0.0104268381,0,-1.75919595,4.09268009,0
79,-0.017300567,0.0141818725,0,3.72925125,-13.9209063,0
80,0.464441423,1.11145595,0,-4.40754616,19.2050706,0
81,0.915173424,0.0348722128,0,-0.719327533,4.04120317,0
82,0.77877976,0.908518376,0,-11.7256879,4.15800063,0
83,1.03772233,0.302331131,0,9.19254092,-10.6013653,0
84,0.835056191,0.411164663,0,-1.56838418,0.041476918,0
85,0.696046809,0.488819055,0,-4.55507263,15.2198279,0
86,0.0775556142,0.264210629,0,15.1791049,2.62045233,0
87,0.657858278,0.0802386579,0,12.6353998,17.4706292,0
88,-0.328603321,0.0949664291,0,-30.4844667,-1.12491271,0
89,0.0220543819,0.643182922,0,4.17171624,7.98654687,0
90,0.709237485,0.653456529,0,1.89441338,-0.124133773,0
91,0.439090979,0.942238997,0,-4.1390339,-8.04708772,0
92,0.482960353,0.103897878,0,-2.72714857,-5.83877687,0
93,1.25806624,0.28212694,0,7.43903908,-10.556939,0
94,0.427649173,0.95762924,0,-2.05442902,9.82163911,0
95,0.817960925,0.00107022156,0,-10.6285841,-22.9938331,0
96,0.48692663,0.274738665,0,17.2481051,2.58657601,0
97,0.242139492,0.985628784,0,2.37380464,18.1918359,0
98,0.238851703,0.192130588,0,-16.1305265,1.84003622,0
99,0.14318328,0.659511291,0,21.5809782,-1.82461215,0
