id,px,py,pz,vx,vy,vz
0,0.365507416,0.0465441706,0,11.5725452,3.87909835,0
1,1.11019799,0.508470651,0,9.50052907,0.312122048,0
2,1.07091363,0.457505218,0,5.20223657,7.3562158,0
3,0.315214926,0.790187339,0,-3.45913286,-1.0430469,0
4,0.192848364,0.651924476,0,2.49497875,-17.8712355,0
5,0.900981568,0.213523889,0,-0.162536266,-12.8316938,0
6,0.874640882,0.391863537,0,6.77106892,2.15655464,0
7,0.143830331,1.09710176,0,5.26939566,9.39217164,0
8,-0.0472555387,0.115253244,0,-0.100502725,14.4521981,0
9,0.165010034,0.689443927,0,12.0995283,1.01471128,0
10,1.09881895,0.708400719,0,3.48071782,15.9895821,0
11,0.553298159,0.0787074077,0,19.0497837,-2.19509365,0
12,0.0739114678,0.130859052,0,3.85723198,2.17928752,0
13,0.834116962,0.116025923,0,-14.8401183,1.13376441,0
14,1.28523435,0.340147297,0,16.332944,-1.90846471,0
15,0.539576153,1.24278253,0,-7.94594302,14.60473,0
16,0.827112346,0.679897075,0,10.1171698,3.45477784,0
17,0.784406748,0.402792762,0,7.99533883,-4.64671506,0
18,0.21117321,0.323787726,0,-0.311967159,0.178928483,0
19,1.04265037,-0.152444719,0,-1.05059127,-8.95363403,0
20,0.928417009,0.477698961,0,8.55286885,3.582845,0
21,0.493448057,0.60122127,0,-6.91569258,-10.2957215,0
22,1.0078478,0.179657784,0,-13.3679373,8.35897378,0
23,0.987028984,0.466623253,0,-0.919135682,-1.31601014,0
24,0.572049651,-0.227003997,0,8.04010503,-31.4948198,0
25,0.751075086,0.731586037,0,0.64619629,15.3862299,0
26,0.155992435,0.432628035,0,-6.58685322,-8.04422647,0
27,0.292955191,1.07319744,0,-2.69278312,5.73497324,0
28,0.371744648,-0.0166049335,0,-1.21422678,2.80434182,0
29,0.252967664,0.961856022,0,21.5529033,-2.38308093,0
30,0.0932021015,0.922901834,0,-3.64349123,7.86609708,0
31,-0.145076385,0.129050654,0,-5.53343139,5.54785682,0
32,0.2640145,0.230690307,0,-2.96754023,-10.7331793,0
33,0.997970609,0.370330286,0,11.0144586,-13.8286043,0
34,0.243622907,0.224286025,0,10.7214678,10.2409701,0
35,0.29492951,0.404987309,0,-13.1158235,-4.68464893,0
36,0.125532948,0.964626478,0,-6.85337067,-5.99822698,0
37,0.495293803,0.724025076,0,1.75885533,-9.40268157,0
38,0.395766746,0.533199024,0,4.37058019,-5.47135059,0
39,0.606181055,0.522788952,0,-1.89681179,9.4241614,0
40,0.218595973,0.309008906,0,-3.18202324,8.36737754,0
41,0.687583865,0.129435317,0,-12.5179202,5.0062992,0
42,0.78357804,0.49586957,0,6.41911584,-12.9217196,0
43,0.0357874423,0.264789756,0,0.746827032,-0.677302744,0
44,0.321966046,0.922246612,0,8.39847037,-16.2074049,0
45,-0.0266192085,0.000134017416,0,-8.78163616,12.3275461,0
46,0.758329757,0.374996659,0,7.69795131,8.83702927,0
47,0.996657873,1.03547977,0,23.2107652,9.58291776,0
48,0.549549707,0.470859634,0,-9.18952464,-9.59361034,0
49,0.243885043,-0.175052131,0,8.89568832,-6.41958954,0
50,0.242503525,0.272191482,0,-2.54827839,1.54995471,0
51,0.992103288,-0.0858051477,0,2.74435041,-11.3311975,0
52,0.899610937,0.557250755,0,6.23750122,-9.48015879,0
53,0.542421855,0.685549227,0,-6.58500376,11.1599432,0
54,0.612028517,0.920567393,0,-3.62105265,3.76458726,0
