id,px,py,pz,vx,vy,vz
0,0.070717898,-0.130387125,0,6.52396615,-14.9758011,0
1,0.454231101,-0.0947514443,0,10.9346058,-15.9343708,0
2,0.157220503,-0.241601579,0,-4.02378067,-17.6144134,0
3,-0.0774375709,-0.254274728,0,-12.4499283,-22.1737383,0
4,0.250435298,-0.204913827,0,-2.66572529,-16.5070706,0
5,0.64336949,-0.234860354,0,3.20861094,-21.1501404,0
6,0.736974021,0.0100663314,0,2.51460928,-11.471846,0
7,0.70504573,-0.203859728,0,-1.55897343,-21.4053505,0
8,0.6015628,-0.330505161,0,-6.2460309,-19.7317773,0
9,0.982261773,-0.228059935,0,-3.38221787,-16.1681455,0
10,0.0724816611,-0.00187582326,0,2.49722671,-14.6293571,0
11,0.232148358,0.13643594,0,1.84307139,-8.41756665,0
12,0.26562519,0.151531024,0,-1.5026718,-7.52375146,0
13,0.509964035,0.064333757,0,7.19532972,-11.6352106,0
14,0.438584946,0.112080593,0,-0.617922404,-12.3241586,0
15,0.541460103,0.0574294611,0,0.322584583,-13.1927148,0
16,0.640000973,0.0963145766,0,-0.335161465,-12.0739361,0
17,0.530951798,0.119437913,0,-10.5376709,-10.0397064,0
18,0.795104625,0.305664536,0,1.15393479,-2.0334073,0
19,0.938581574,0.056281643,0,-2.67704365,-12.4999723,0
20,-0.0761738379,0.37946589,0,-3.72461596,-6.95903233,0
21,0.0269955906,0.368541289,0,-9.00399692,-6.28092426,0
22,0.275277272,0.555993439,0,1.91710416,-0.118474662,0
23,0.359010299,0.439327839,0,0.22443282,-6.34503905,0
24,0.452509049,0.435359007,0,-0.0563979096,-6.33760435,0
25,0.533056094,0.394903936,0,-0.76960691,-7.57927272,0
26,0.645881863,0.445387079,0,0.469625616,-6.08625733,0
27,0.522536977,0.495838036,0,-10.4682075,-2.52018981,0
28,0.787066167,0.448940783,0,0.978095541,-4.32975597,0
29,0.926286508,0.374408685,0,-0.122775608,-7.85899653,0
30,0.0627101297,0.724789129,0,0.49829196,-1.64497906,0
31,0.15450847,0.696518317,0,-1.06575479,-2.37825219,0
32,0.260540639,0.798899691,0,0.823566863,0.280443165,0
33,0.342920218,0.762518017,0,0.334982267,-1.11029056,0
34,0.455136974,0.752542243,0,-0.721111685,-0.446950224,0
35,0.465049158,0.775703389,0,-4.51219987,-0.00404554524,0
36,0.684461737,0.716675978,0,3.96918492,-2.58469383,0
37,0.699756834,0.645318087,0,-4.29003231,-6.02805838,0
38,0.89074074,0.862424464,0,3.55656792,3.41607792,0
39,0.95282295,0.736020901,0,-0.414134143,0.46005636,0
40,0.0575931436,0.963142404,0,-0.220068556,-2.59139656,0
41,0.131938441,0.970412709,0,-2.36756819,-3.2359398,0
42,0.326810314,0.9558856,0,4.06444511,-3.71981858,0
43,0.338767835,0.966577536,0,-0.312453472,-2.6411105,0
44,0.439879621,0.962496154,0,-0.0538094611,-3.89160054,0
45,0.537489808,0.970374605,0,-0.988503669,-1.7953785,0
46,0.664391248,0.968413316,0,0.97903935,-1.25410337,0
47,0.657412948,0.91093955,0,-4.92361046,-5.10312452,0
48,0.85704194,1.01153971,0,2.6788557,-1.26912591,0
49,0.946346027,0.966713934,0,-2.01690131,-3.05692571,0
50,0.0453047103,0.519888654,0,2.67748116,-8.89843047,0
51,0.167200645,0.456178698,0,-2.12382063,-10.8427605,0
52,0.380981571,0.470162659,0,6.12146913,-10.0379853,0
53,0.350866509,0.493223808,0,0.0984572627,-9.12335404,0
