id,px,py,pz,vx,vy,vz
0,0.0400009547,0.503972138,0,0,0,0
1,0.144006857,0.497252072,0,0,0,0
2,0.241751663,0.503735534,0,0,0,0
3,0.341302653,0.503212284,0,0,0,0
4,0.451720694,0.49967935,0,0,0,0
5,0.549280324,0.497784256,0,0,0,0
6,0.651298696,0.499450763,0,0,0,0
7,0.756295483,0.500534974,0,0,0,0
8,0.863705003,0.502926619,0,0,0,0
9,0.962471792,0.504889601,0,0,0,0
10,0.035903087,0.59910212,0,0,0,0
11,0.142375396,0.59793942,0,0,0,0
12,0.239106803,0.602648888,0,0,0,0
13,0.34591206,0.606671678,0,0,0,0
14,0.450042263,0.602641176,0,0,0,0
15,0.551218734,0.599975149,0,0,0,0
16,0.64886794,0.599424021,0,0,0,0
17,0.758170321,0.599506067,0,0,0,0
18,0.857445363,0.597537342,0,0,0,0
19,0.964550477,0.599044611,0,0,0,0
20,0.036425993,0.708803322,0,0,0,0
21,0.141347908,0.708471502,0,0,0,0
22,0.245147172,0.707417709,0,0,0,0
23,0.342164956,0.705411438,0,0,0,0
24,0.448827722,0.708713394,0,0,0,0
25,0.549862641,0.705981841,0,0,0,0
26,0.649342516,0.703876318,0,0,0,0
27,0.754480363,0.701501997,0,0,0,0
28,0.861913381,0.703794462,0,0,0,0
29,0.966037479,0.705899917,0,0,0,0
30,0.0398005625,0.808879966,0,0,0,0
31,0.143014502,0.80400788,0,0,0,0
32,0.243153135,0.80489564,0,0,0,0
33,0.345274983,0.803467041,0,0,0,0
34,0.453428281,0.80465004,0,0,0,0
35,0.552967652,0.805504201,0,0,0,0
36,0.65749077,0.809122147,0,0,0,0
37,0.752566158,0.810950743,0,0,0,0
38,0.863199482,0.811539168,0,0,0,0
39,0.961947191,0.8039546,0,0,0,0
40,0.0356746349,0.914279057,0,0,0,0
41,0.141773265,0.906805525,0,0,0,0
42,0.247590569,0.911415717,0,0,0,0
43,0.346946943,0.908762878,0,0,0,0
44,0.447859553,0.907394892,0,0,0,0
45,0.546630573,0.913762188,0,0,0,0
46,0.653427302,0.910476352,0,0,0,0
47,0.754471633,0.912513249,0,0,0,0
48,0.854001969,0.908721853,0,0,0,0
49,0.956553503,0.906228921,0,0,0,0
50,0.0434214824,1.01407761,0,0,0,0
51,0.140532202,1.0127374,0,0,0,0
52,0.247478092,1.01094211,0,0,0,0
53,0.34715291,1.01433684,0,0,0,0
54,0.447304138,1.01269098,0,0,0,0
55,0.553902474,1.01659179,0,0,0,0
56,0.650260623,1.01683419,0,0,0,0
57,0.751301789,1.01502978,0,0,0,0
58,0.861855268,1.00886764,0,0,0,0
59,0.960439037,1.01565256,0,0,0,0
60,0.0338927119,1.11628462,0,0,0,0
61,0.144180237,1.11513004,0,0,0,0
62,0.246008494,1.11226423,0,0,0,0
63,0.343235211,1.11363127,0,0,0,0
64,0.44554406,1.11346061,0,0,0,0
65,0.555731241,1.11573333,0,0,0,0
66,0.652150681,1.11271525,0,0,0,0
67,0.760770395,1.11444478,0,0,0,0
68,0.863553948,1.11515523,0,0,0,0
69,0.961461661,1.11896541,0,0,0,0
70,0.0411776742,1.21830653,0,0,0,0
71,0.140516495,1.22128188,0,0,0,0
72,0.242866461,1.2217276,0,0,0,0
73,0.341937154,1.21679997,0,0,0,0
74,0.448945148,1.22200938,0,0,0,0
75,0.548759992,1.22056039,0,0,0,0
76,0.655514712,1.21967086,0,0,0,0
77,0.757546222,1.22221561,0,0,0,0
78,0.857076815,1.21648276,0,0,0,0
79,0.958279118,1.21300704,0,0,0,0
80,0.0358790819,1.32415464,0,0,0,0
81,0.144651688,1.31612406,0,0,0,0
82,0.24478779,1.31979196,0,0,0,0
83,0.347196849,1.32159275,0,0,0,0
84,0.446816595,1.32461351,0,0,0,0
85,0.5509084,1.32128101,0,0,0,0
86,0.655102262,1.31683889,0,0,0,0
87,0.751868654,1.31911517,0,0,0,0
88,0.861390301,1.32315222,0,0,0,0
89,0.963549892,1.31613205,0,0,0,0
90,0.0428835486,1.42552037,0,0,0,0
91,0.145026914,1.42273304,0,0,0,0
92,0.247906354,1.41796652,0,0,0,0
93,0.341552888,1.41770216,0,0,0,0
94,0.446277687,1.4199857,0,0,0,0
95,0.548125033,1.42317056,0,0,0,0
96,0.649139858,1.42340388,0,0,0,0
97,0.752910112,1.42427874,0,0,0,0
98,0.853960754,1.4206057,0,0,0,0
99,0.965633413,1.42288396,0,0,0,0
