id,px,py,pz,vx,vy,vz
0,0.761108829,0.736705105,0,-1.91422912,-1.33777814,0
1,-0.0436404359,0.31161429,0,3.00531498,-4.184089,0
2,0.379626767,0.660890303,0,1.40371204,-2.97577712,0
3,-0.0562607793,0.91482348,0,-6.75728862,-0.0253946824,0
4,0.892939832,0.944632921,0,-19.6149984,7.60940785,0
5,-0.075157428,0.72414733,0,-19.9469002,-7.69320051,0
6,0.20608114,0.509117304,0,8.95453588,-7.05662942,0
7,1.31502153,1.31306026,0,22.7943825,18.5541049,0
8,0.79920117,0.0350873549,0,-7.33252822,-4.57722774,0
9,0.799166567,0.516160723,0,0.465818598,-11.3315241,0
10,0.565519615,0.62846733,0,-5.60425998,-0.632950977,0
11,0.372839122,0.238583424,0,4.96691603,-5.64011477,0
12,-0.054143135,0.361112199,0,-9.57751215,-0.166271566,0
13,0.313650315,-0.124959121,0,-9.09740097,-15.6070169,0
14,0.826845085,0.328713462,0,-19.8831653,-3.88370124,0
15,0.81440903,0.493461062,0,4.42422633,9.53766657,0
16,0.413110383,-0.418482098,0,15.2767603,-20.2894242,0
17,0.306224088,0.739538595,0,12.0784206,0.455523386,0
18,0.426278605,-0.060466266,0,-11.4143811,-5.17618754,0
19,0.459236785,0.435110013,0,14.1391216,5.64942424,0
20,0.891336945,0.542005326,0,16.9735879,-7.79065889,0
21,0.160383967,1.2685244,0,9.93308808,14.9977649,0
22,0.585723289,0.112046594,0,16.6859949,-19.2864185,0
23,0.820922749,0.788076998,0,10.8293015,14.5546068,0
24,0.867493082,0.656074838,0,-2.04495513,-3.83329071,0
25,0.156306186,0.241174161,0,3.44947153,9.83096726,0
26,0.764678458,0.22645599,0,2.22909003,-0.810444711,0
27,0.877807257,0.886324832,0,-11.6866791,-0.550799529,0
28,0.166527738,0.0881815341,0,8.14498047,5.74416805,0
29,0.980276401,0.870890392,0,-2.71813911,-0.130991959,0
30,0.743935579,1.00865422,0,-16.0141634,12.0120244,0
31,0.151835951,0.447228184,0,-12.5131677,1.67589187,0
32,0.940305736,0.356935329,0,8.8151753,-7.25634242,0
33,1.10067616,0.334811104,0,8.71973518,-3.67596067,0
34,0.0220169826,-0.0106092231,0,-4.63326367,-13.2621487,0
35,0.85782661,0.460532877,0,6.66341546,-6.79449895,0
36,1.06521267,0.736274919,0,20.0361594,-3.0757593,0
37,0.0038317757,0.755397426,0,0.90069695,-1.89825956,0
38,0.920259755,-0.0482062603,0,-8.12927002,-3.8370143,0
39,1.02473786,0.145182322,0,4.28029976,25.3075422,0
40,0.914318765,0.438531715,0,-9.17736576,-3.15336379,0
41,0.211002313,0.637874975,0,1.32642761,4.71467127,0
42,0.1621305,0.142567208,0,1.03339177,-5.65520771,0
43,0.782931089,0.475739076,0,-5.67714044,2.25303199,0
44,-0.0642055902,-0.0829813943,0,-7.07576008,-4.3741867,0
45,0.0563324605,0.0963866678,0,-2.40708816,9.41662678,0
46,0.707561281,0.0946153588,0,0.871621031,3.74822504,0
47,0.373848034,0.400014387,0,3.44856023,-8.061134,0
48,0.972981601,0.110866943,0,-4.7492697,-12.3707708,0
49,1.08663566,0.418677048,0,14.8162094,9.17795618,0
50,0.471136701,0.0398547948,0,-7.13844829,0.910721679,0
51,1.27883126,0.325611778,0,14.7605753,1.51679468,0
52,0.584553709,1.00409765,0,-1.14061118,7.62379461,0
53,0.206581687,-0.0911364152,0,-0.545572424,-7.31306388,0
54,0.578187241,0.775608339,0,5.33707256,-8.58617443,0
55,0.993530709,0.067359474,0,-2.13834025,-2.6765071,0
56,0.0975408844,-0.0466573626,0,-10.9124462,-18.3772243,0
57,-0.151012607,0.310403098,0,-9.32516107,-3.58813794,0
58,0.964766734,1.0591181,0,7.7205467,7.27444371,0
59,0.798418914,0.664538346,0,-11.6879288,5.88368383,0
60,0.988422629,0.388153647,0,8.61471627,-1.22903964,0
61,-0.190179663,0.621639194,0,-17.637551,-4.35687908,0
62,0.299198445,0.636265495,0,-2.17850811,3.83820531,0
63,0.124457451,0.00390296109,0,10.7899707,-17.7884754,0
64,1.17074318,0.764785306,0,9.97286418,-9.00911206,0
65,1.0989805,0.910498664,0,19.7039274,0.387557809,0
66,0.782804465,1.02394427,0,0.593547015,-11.3318225,0
67,0.0723762036,0.796321585,0,-1.32813253,-4.27638081,0
68,0.193329714,0.504055788,0,5.03796198,-1.66564368,0
69,-0.0960569599,0.796639158,0,-6.35920797,2.57825219,0
70,0.94864589,0.310056795,0,-3.66639017,7.90759028,0
71,0.922778913,-0.254605604,0,-3.44962433,-14.2964901,0
72,0.0988692342,0.0931052459,0,-14.3136263,-9.53033218,0
73,0.870340552,0.746464426,0,-4.69202594,-2.54592092,0
74,-0.106511595,-0.0260851494,0,-18.5975541,-9.97272021,0
75,-0.00657717754,0.254041127,0,-7.63135363,-2.31767659,0
76,0.875674287,0.0522949096,0,-3.40739399,6.2388258,0
77,0.339325965,-0.0693428712,0,6.18307364,-2.29605641,0
78,0.273979269,0.143064663,0,-4.07104176,-9.54582235,0
79,-0.0520196249,0.267651122,0,-11.7960065,8.87515266,0
80,0.173830419,0.451480766,0,-3.35902371,3.87516973,0
81,0.179638726,0.866829906,0,-1.18442415,-0.155115104,0
82,0.686234341,-0.0842994948,0,-13.438477,-17.9222213,0
83,0.868042635,-0.380198812,0,8.80867321,-17.1811543,0
84,0.0943432317,-0.27816646,0,2.94256729,-18.5350409,0
85,0.214651382,0.915091499,0,7.79149523,-13.3853633,0
86,0.493144046,0.3419543,0,-9.30190169,1.88108929,0
87,0.188590031,0.889312573,0,-15.0969344,7.33405676,0
88,0.218090233,0.867200299,0,-16.5050731,-9.21891454,0
89,0.116809453,0.0320586075,0,-1.04245341,11.078516,0
90,0.764519751,0.48116826,0,-2.59754365,15.779187,0
91,0.299242179,0.691926464,0,16.1985112,6.85251001,0
92,0.958501278,0.780129562,0,-7.88769079,2.09192781,0
93,0.526238177,0.0852616766,0,11.3244984,2.46315089,0
94,0.682610761,0.5192382,0,3.89130542,-13.5992338,0
95,0.289243823,-0.0632223077,0,0.146782652,-11.9393769,0
96,0.512733576,0.211679076,0,-14.3246304,6.60829592,0
97,1.13093067,0.0587352358,0,11.6721051,2.60360168,0
98,-0.248480256,0.691101359,0,-20.6915349,-5.49645962,0
99,-0.335465433,0.169771088,0,-21.7977144,16.9025386,0
