id,px,py,pz,vx,vy,vz
0,0.249777744,1.01080071,0,5.63353408,14.6365813,0
1,-0.0187677366,0.627033896,0,-0.0938676935,8.50601213,0
2,0.674144927,0.65954111,0,-3.47104622,-7.39709031,0
3,0.2697093,-0.212856041,0,-2.77985113,-16.6378198,0
4,-0.154431869,0.306492646,0,-24.0062073,-3.27009882,0
5,-0.517381398,0.201897187,0,-28.5599863,-2.48123463,0
6,0.681081031,0.930546465,0,4.91732616,-0.233820717,0
7,0.0189747424,0.230510129,0,-13.6550881,3.7006919,0
8,0.976060853,0.293307481,0,7.55414457,4.33995513,0
9,0.472445766,0.519336624,0,16.2688264,10.9015985,0
10,0.806228628,0.713992853,0,-3.2102389,-0.954735266,0
11,0.183448202,0.0986342316,0,28.7628403,-4.14100404,0
12,0.115523147,0.805464709,0,0.398864924,-13.0697803,0
13,-0.280472417,1.21239043,0,-16.7729367,10.2494731,0
14,0.949066595,0.957977386,0,3.4296393,10.275887,0
15,1.37823394,0.0621274647,0,18.3401972,-8.01759801,0
16,0.389755057,1.16015456,0,-23.614581,14.3525592,0
17,0.78445706,0.671188146,0,-1.10811225,8.88917346,0
18,0.257458987,0.903854428,0,8.68742677,-3.66905406,0
19,0.115060727,0.886720303,0,-1.24756838,-1.83285233,0
20,0.0998848476,0.0486059787,0,-0.413183815,-9.53960414,0
21,0.583240432,1.24078826,0,-0.138336197,12.2269276,0
22,0.644137739,0.687038471,0,-10.4955898,4.1900034,0
23,1.10271417,0.550217775,0,18.823255,9.82144848,0
24,0.418771947,0.620076214,0,-7.71300785,-14.5976253,0
25,0.61267948,0.16292256,0,-2.30689511,10.549104,0
26,0.7025375,0.400296896,0,2.48347003,2.37616545,0
27,0.184867391,0.369684247,0,-14.5940423,1.2649211,0
28,0.0934793076,0.108995278,0,-14.235375,0.700163864,0
29,0.139753487,0.693512525,0,-1.59830606,13.889833,0
30,0.358525524,0.735873364,0,-5.09402042,-7.52686489,0
31,0.889277324,0.234062138,0,1.74769668,3.74454286,0
32,0.801173324,0.147510831,0,0.259925893,5.21271865,0
33,0.0452206795,0.833439923,0,-0.399285387,7.35470128,0
34,0.838677358,0.995962608,0,8.09727453,2.50471076,0
35,0.795510298,0.753683886,0,2.74446374,5.6232651,0
36,0.788248211,0.259702554,0,-14.9324182,-9.07616506,0
37,0.0160372853,0.344755425,0,2.36757441,-1.55595321,0
38,-0.0383785405,0.36969326,0,-0.875654894,-11.7096878,0
39,0.121440717,-0.0667712867,0,22.5642367,3.42103782,0
40,0.328518816,0.308346,0,0.380831336,7.75273166,0
41,0.601867049,0.588148575,0,4.70176652,-2.80251331,0
42,0.625234624,0.0882940821,0,-9.79730095,-15.4230788,0
43,0.507572365,0.820176266,0,-6.45343383,-13.689093,0
44,0.591407206,0.454314306,0,4.96511293,-19.5990877,0
45,0.388421549,0.695584385,0,-1.70864607,8.93165707,0
46,1.09274911,0.498753337,0,6.4424488,8.90753184,0
47,0.379374842,0.723501696,0,5.76266825,9.97153125,0
48,0.643154242,1.05223699,0,-10.6368197,6.52091041,0
49,0.385989682,0.725723794,0,8.08405345,-3.67918005,0
50,-0.0325093425,0.62648557,0,-5.36257089,9.77518001,0
51,0.638158961,1.0144266,0,-13.0443752,1.31334196,0
52,-0.172658438,0.0882954355,0,-14.0233916,-13.3852695,0
53,0.152860467,1.002586,0,-13.8747802,17.7805346,0
54,0.408716029,0.230478607,0,-2.40205398,-7.69086804,0
55,0.862769473,0.872649077,0,-17.1578135,8.81703837,0
56,0.129377673,0.744469125,0,-1.17556432,-6.12372791,0
57,0.846694444,0.173143065,0,3.80460621,-4.11996984,0
58,0.771996012,0.235094266,0,-2.49470727,22.9946343,0
59,0.162280239,0.517382293,0,-0.373230818,-13.7308758,0
60,0.513541935,0.603034027,0,8.97124708,5.3109644,0
61,0.144014875,0.72514903,0,-17.9541583,0.633541678,0
62,0.942290123,5.79798653e-05,0,1.25024847,-11.5299892,0
63,1.00832529,0.0195376801,0,2.23509716,1.35360657,0
64,0.226724242,0.533315446,0,-7.39642409,6.27675148,0
65,0.0158497642,0.33960414,0,-3.821165,2.32077976,0
66,0.923844578,0.921248731,0,-7.30716604,6.29309103,0
67,0.627676427,0.513899658,0,-1.55525965,-0.544704028,0
68,0.454032497,0.309271258,0,15.2531109,-3.96242144,0
69,0.480195792,0.554892335,0,1.65487948,-3.47149512,0
70,0.454526112,0.667863204,0,4.81396301,5.95418034,0
71,0.273874825,-0.045207897,0,3.59607854,4.98285979,0
72,-0.0196172017,1.0610775,0,-3.28624256,5.49750107,0
73,0.592055073,0.27157862,0,-1.33523238,-4.63329685,0
74,0.821443239,0.712000289,0,-16.0555682,-9.37406484,0
75,0.778651033,0.475253435,0,-8.87050949,-7.4287199,0
76,0.934456692,0.226893844,0,-3.11714189,-2.72371824,0
77,0.0323310602,0.873442111,0,-0.976327593,3.75215079,0
78,0.580267757,0.198015196,0,-0.289339793,9.00424119,0
