id,px,py,pz,vx,vy,vz
0,0.752648603,0.0307083844,0,-6.77604459,3.6636449,0
1,0.204657082,1.05856538,0,-6.04678501,1.59477776,0
2,0.442635064,-0.0603912233,0,5.98404805,-10.5496978,0
3,0.248980814,0.588419654,0,6.29259864,-10.9514083,0
4,1.09333159,0.860992621,0,11.2019388,-14.2792233,0
5,-0.0973226419,1.04850225,0,-16.6653416,-3.75292853,0
6,0.636842989,0.864487358,0,4.7126861,-4.14327326,0
7,0.653646555,-0.221950004,0,3.07631137,-10.3770845,0
8,0.17443354,-0.0910239486,0,3.00457474,-15.9016515,0
9,0.749473049,0.318578287,0,-3.28469842,-1.62525872,0
10,-0.0861421675,0.951071737,0,-2.60994863,31.7722548,0
11,0.20239844,0.0399123245,0,11.2612445,4.84329152,0
12,0.327699565,0.751333859,0,4.61797605,-1.59818075,0
13,0.510062021,0.0187345189,0,12.3809749,-2.19568812,0
14,0.465782719,0.726004007,0,4.21551043,-0.796259778,0
15,0.537877495,0.523599139,0,2.82568053,-6.2600038,0
16,-0.0794796173,0.929883937,0,-1.16647941,-7.0622739,0
17,0.395477483,0.36798844,0,19.7948188,4.18647896,0
18,0.186074127,0.210541589,0,-1.73481153,-9.2037859,0
19,-0.0294854239,0.591700911,0,-2.65626289,-9.96286079,0
20,0.652057125,0.847899934,0,-1.60687283,5.69657077,0
21,0.937373191,0.662637431,0,13.3431503,9.13210491,0
22,0.188200356,0.557278486,0,0.153242799,-8.58810882,0
23,0.372388897,1.03285916,0,-22.4240805,-5.60758677,0
24,0.734250219,0.216503042,0,0.369305206,38.9955233,0
25,-0.136960222,-0.113296653,0,-13.7406352,-12.1507189,0
26,0.518336934,0.676159952,0,7.1101676,8.38812656,0
27,0.0210105279,1.09418908,0,0.650055348,7.6983555,0
28,0.71828176,0.403126256,0,3.06121082,6.02415893,0
29,0.220325841,0.0926482328,0,-9.44911415,8.92406588,0
30,0.220694789,0.881567682,0,-18.2350899,0.511195684,0
31,0.034743596,1.19444471,0,-20.9603469,9.56780226,0
32,-0.130500788,-0.0882319118,0,-5.68331403,-16.9899241,0
33,0.335064818,0.893084543,0,11.306994,-18.3597764,0
34,0.836483247,0.1338002,0,-6.94755239,-0.0571306054,0
